Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2019-10-01,61369.0546875,63437.990432675826,60283.351094510086,62793.18451262642,9209
2019-10-03,60979.84375,61569.046799150696,60710.95889967006,61369.05620805516,5960
2019-10-04,60451.40625,61484.7310979885,60032.32885741965,61484.7310979885,4320
2019-10-07,60676.33984375,61067.090694269726,60115.753928308535,60501.64548405296,3561
2019-10-09,60697.1796875,61009.46110434139,59801.840949655,60761.06353420233,6263
2019-10-10,60685.1640625,60898.446016817805,60251.508838886155,60710.95629883611,3047
2019-10-11,61229.48046875,61393.01472201659,60562.156709466246,60760.55853324828,4974
2019-10-14,61501.2421875,62216.383904897855,61148.784438435294,61229.780435081484,4294
2019-10-15,62523.85546875,62792.093187606464,61278.388005483714,61653.36745678969,4999
2019-10-16,62394.3046875,63107.609709617725,62128.992590120455,62526.34266793014,3660
2019-10-17,64383.26953125,65186.50234557781,62155.31799327423,62393.400161277066,7039
2019-10-18,63508.17578125,64566.84713779212,63290.18177740072,64381.39180804556,4473
2019-10-22,63698.19921875,64232.49303290962,63518.39755661377,63880.38015288088,3206
2019-10-23,63807.31640625,64027.1936756885,63356.09951209827,63774.28172784664,5771
2019-10-24,62972.9453125,64182.9989801815,62551.14375108725,64133.398517291105,8461
2019-10-25,62779.90625,63468.755968262434,62521.735825793374,63319.95457102518,5263
2019-10-27,62818.3359375,63239.591071488714,62508.33307926159,63239.591071488714,534
2019-10-29,64650.37109375,65075.7957383126,62828.05041126097,63070.94538485025,10839
2019-10-30,64374.7421875,64926.99285515857,63591.20228291523,64728.59104353089,5400
2019-10-31,65148.953125,65770.19878090562,64584.848739316345,64678.98884638078,7189
2019-11-01,64446.66796875,65964.24432156867,64167.51427257146,65462.68295187762,7154
2019-11-04,63925.421875,65184.8783107281,63686.99091274453,64779.19304662197,5008
2019-11-05,63345.49609375,64679.84931602115,62726.133554535125,64220.69627429304,5484
2019-11-06,63129.2265625,63650.42658915903,62858.7064582555,63369.54076491548,3245
2019-11-07,63015.00390625,63411.11007191328,62804.15157997103,63245.54528973632,2116
2019-11-08,63939.3984375,64966.6742083299,62353.423931612575,63172.52504840298,15991
2019-11-11,62581.09765625,63587.78936174547,62446.97878817281,63489.58045149878,7175
2019-11-13,62456.05078125,62873.539378399015,61901.37041988164,62873.539378399015,4688
2019-11-14,63113.109375,63190.982092335136,62283.59210878876,62564.826699419486,3395
2019-11-15,63439.484375,63945.16106494232,62806.38487826381,63239.64489657142,3201
2019-11-18,63878.99609375,64182.004535040236,63339.7887071256,63598.10635804049,3043
2019-11-19,63031.62109375,63925.619006686815,62913.22324612565,63925.07262662152,2672
2019-11-20,62554.55859375,63599.640233006685,62248.77177334101,63338.792202088305,2999
2019-11-21,62049.66015625,62926.33968594041,61950.15611701569,62598.76341377016,3752
2019-11-22,62153.67578125,62598.76034572778,62003.576869275515,62049.16108690792,3155
2019-11-25,63352.8671875,63445.9732281197,62154.31583150633,62154.31583150633,5750
2019-11-26,62591.171875,63953.6606002659,62433.83017807106,63357.682711144786,4604
2019-11-27,62503.51953125,62991.611265256965,62351.73490665027,62598.75694276355,4315
2019-11-28,63474.34765625,63788.13198692814,62313.04491565273,62697.96278846801,4581
2019-11-29,62893.4453125,63606.88106965439,62698.060594028895,63347.80711006242,2797
2019-12-02,62224.80078125,63092.30368093842,62053.12465494238,62893.4467607453,4456
2019-12-03,61568.70703125,62543.40246208228,61439.49168278597,62379.56589471298,4973
2019-12-04,61598.8671875,62058.1893040031,61061.071859104464,61568.70634759092,4926
2019-12-05,61269.64453125,62100.592430476354,61085.91648124571,61884.471417446905,7439
2019-12-06,61044.40625,62251.54129513038,60766.8280844479,61693.904822938726,6126
2019-12-09,61994.00390625,62595.93416770829,60765.442727388996,60878.537164646914,3917
2019-12-10,61577.04296875,61962.80178393566,61036.321840021265,61904.320832808364,3345
2019-12-11,61557.29296875,61853.669797607254,61113.94454455749,61805.10941525356,2791
2019-12-12,62194.09765625,62449.94743967573,61568.90064222984,61606.69953937828,2718
2019-12-13,63418.55078125,63590.81983747655,62301.146424235994,62301.146424235994,4829
2019-12-16,63743.84375,64334.86138562819,63094.79081150274,63094.79081150274,5929
2019-12-17,64189.765625,64483.21666640223,63371.56715583525,63743.588284585516,3451
2019-12-18,63617.49609375,64414.167711808164,63491.605694422055,64089.96292518701,8346
2019-12-19,63571.015625,63865.10992872502,63221.81182089585,63739.614811625084,3274
